,Depth ID,Acquisitio,Acquisit_1,Info Time(,Info Tim_1,Underwater,Dive Count,Average Di,Maximum Di,Layer 1 Pe,Layer 2 Pe,Layer 3 Pe,Layer 4 Pe,Layer 5 Pe,Layer 6 Pe,Layer 7 Pe,Layer 8 Pe,Layer 9 Pe,Layer 10 P,Layer 1 Di,Layer 2 Di,Layer 3 Di,Layer 4 Di,Layer 5 Di,Layer 6 Di,Layer 7 Di,Layer 8 Di,Layer 9 Di,Layer 10 D,Calculated,Calculat_1,geometry
0,1,2020.07.10 02:00:00,2020.07.10 00:00:00,0.0,0 days 00:00:00,0.07422,12.0,44.0,3.0,0.06641,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857878.014588288,1671516.7272290569,POINT (16.06964 37.93117399214039)
1,2,2020.07.10 04:00:00,2020.07.10 02:00:00,7200.0,0 days 02:00:00,0.74609,55.0,98.0,19.0,0.43359,0.14453,0.13672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857396.506890927,1670375.668805248,POINT (16.06329784120451 37.92120089215579)
2,3,2020.07.10 06:00:00,2020.07.10 04:00:00,7200.0,0 days 02:00:00,0.96484,60.0,109.0,35.0,0.29297,0.55078,0.03516,0.02734,0.01953,0.00391,0.00391,0.00391,0.00391,0.00391,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4856069.644072538,1670031.854164275,POINT (16.048073 37.91904299213421)
3,4,2020.07.10 08:00:00,2020.07.10 06:00:00,7200.0,0 days 02:00:00,0.92578,6.0,1023.0,9.0,0.02734,0.89453,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856033.698579675,1669974.3837329939,POINT (16.04762199999999 37.91854899213399)
4,5,2020.07.10 10:00:00,2020.07.10 08:00:00,7200.0,0 days 02:00:00,0.94922,13.0,499.0,9.0,0.06641,0.87109,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855980.545341946,1670036.6310862885,POINT (16.04707300162748 37.91914999310291)
5,6,2020.07.10 12:00:00,2020.07.10 10:00:00,7200.0,0 days 02:00:00,0.94922,15.0,507.0,7.0,0.57422,0.36328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855910.392560328,1669828.5038373654,POINT (16.046116 37.91731799213338)
6,7,2020.07.10 14:00:00,2020.07.10 12:00:00,7200.0,0 days 02:00:00,0.98047,85.0,77.0,11.0,0.55078,0.36328,0.01172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854201.658391224,1669659.513965146,POINT (16.02673 37.91701099213323)
7,8,2020.07.10 16:00:00,2020.07.10 14:00:00,7200.0,0 days 02:00:00,0.95703,41.0,177.0,11.0,0.58984,0.33984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855732.463681118,1670021.6385134687,POINT (16.044266 37.9191919921343)
8,9,2020.07.10 18:00:00,2020.07.10 16:00:00,7200.0,0 days 02:00:00,0.94922,13.0,538.0,9.0,0.47266,0.46484,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855830.076006616,1669883.2943674887,POINT (16.04525499999999 37.9178709921337)
9,10,2020.07.10 20:00:00,2020.07.10 18:00:00,7200.0,0 days 02:00:00,0.94141,14.0,436.0,11.0,0.06641,0.86328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856439.128046164,1670189.3902155415,POINT (16.052362 37.92020299213482)
10,11,2020.07.10 22:00:00,2020.07.10 20:00:00,7200.0,0 days 02:00:00,0.94922,51.0,125.0,9.0,0.79297,0.12891,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,43.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856971.206878349,1670505.1419913978,POINT (16.05861 37.92267699213609)
11,12,2020.07.11 00:00:00,2020.07.10 22:00:00,7200.0,0 days 02:00:00,0.94922,34.0,211.0,9.0,0.31641,0.61328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856850.2038412085,1670221.3139534954,POINT (16.057019 37.9201969921348)
12,13,2020.07.11 02:00:00,2020.07.11 00:00:00,7200.0,0 days 02:00:00,0.91016,19.0,374.0,11.0,0.19141,0.71484,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856671.911741409,1669931.6215101806,POINT (16.05477799435095 37.91770499450853)
13,14,2020.07.11 04:00:00,2020.07.11 02:00:00,7200.0,0 days 02:00:00,0.94922,49.0,144.0,13.0,0.38672,0.24609,0.27734,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,45.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856749.163029314,1668202.1615409087,POINT (16.054262 37.90200899212564)
14,15,2020.07.11 06:00:00,2020.07.11 04:00:00,7200.0,0 days 02:00:00,0.98047,132.0,53.0,7.0,0.88672,0.01172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856844.86633116,1663751.8268174345,POINT (16.05177613154142 37.86169166284711)
15,16,2020.07.11 08:00:00,2020.07.11 06:00:00,7200.0,0 days 02:00:00,0.98047,151.0,47.0,5.0,0.87891,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856940.569633007,1659301.4920939603,POINT (16.04929496287544 37.82137219941178)
